Instance,Algorithm,Time(s),Cost,Success,Error,Dimension
rl1304.tsp,Christofides,10.3718,278319.19310530246,True,,1304
rl1304.tsp,Twice-Around-the-Tree,4.0703,347782.57034149766,True,,1304
rl1304.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
rl1323.tsp,Christofides,10.8579,298261.7196963095,True,,1323
rl1323.tsp,Twice-Around-the-Tree,4.1723,380421.587604229,True,,1323
rl1323.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
rl1889.tsp,Christofides,31.0231,344691.95294951776,True,,1889
rl1889.tsp,Twice-Around-the-Tree,8.8736,449811.48817322083,True,,1889
rl1889.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
st70.tsp,Christofides,0.5267,759.1621130179485,True,,70
st70.tsp,Twice-Around-the-Tree,0.4635,873.3514856717352,True,,70
st70.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
ts225.tsp,Christofides,0.5491,134282.1703627935,True,,225
ts225.tsp,Twice-Around-the-Tree,0.5208,188009.70162933244,True,,225
ts225.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
tsp225.tsp,Christofides,0.7901,4376.002889600349,True,,225
tsp225.tsp,Twice-Around-the-Tree,0.5204,5115.932581284439,True,,225
tsp225.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
u1060.tsp,Christofides,34.8402,249108.58459439888,True,,1060
u1060.tsp,Twice-Around-the-Tree,2.6036,302914.8663669418,True,,1060
u1060.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
u1432.tsp,Christofides,36.2577,171640.9249010753,True,,1432
u1432.tsp,Twice-Around-the-Tree,4.6251,214430.78054791197,True,,1432
u1432.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
u159.tsp,Christofides,0.6,47581.71632624036,True,,159
u159.tsp,Twice-Around-the-Tree,0.4983,57787.974410195486,True,,159
u159.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
u1817.tsp,Christofides,52.813,66796.25683960102,True,,1817
u1817.tsp,Twice-Around-the-Tree,7.6043,83501.55577440909,True,,1817
u1817.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
u2152.tsp,Christofides,78.3147,73917.82910222613,True,,2152
u2152.tsp,Twice-Around-the-Tree,11.0257,95076.21583494876,True,,2152
u2152.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
u2319.tsp,Christofides,277.376,272766.5150547411,True,,2319
u2319.tsp,Twice-Around-the-Tree,12.5892,320532.84102777723,True,,2319
u2319.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
u574.tsp,Christofides,6.3052,41337.60957541716,True,,574
u574.tsp,Twice-Around-the-Tree,1.0246,49083.15193822763,True,,574
u574.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
u724.tsp,Christofides,11.9241,47954.682397622775,True,,724
u724.tsp,Twice-Around-the-Tree,1.4023,57779.66789292217,True,,724
u724.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
vm1084.tsp,Christofides,18.7685,260833.0616257126,True,,1084
vm1084.tsp,Twice-Around-the-Tree,2.8127,315268.3487491507,True,,1084
vm1084.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
vm1748.tsp,Christofides,68.4117,376240.89998764714,True,,1748
vm1748.tsp,Twice-Around-the-Tree,7.4949,444658.6319423448,True,,1748
vm1748.tsp,Branch-and-Bound,NaN,NaN,False,Skipped,
